epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51862,3.92164,9.58519,4.5627,0,0,0,0,4.5419,6.05909,4.08401,0,0,0
2,2.47798,2.48705,10.0157,1.35,0,0,0,0,4.27545,6.89693,3.92542,1.802e-05,1.802e-05,1.802e-05
3,3.37528,2.65358,11.3991,3.29985,0,0,0,0,4.46328,6.33291,4.04067,3.208e-05,3.208e-05,3.208e-05
4,4.28482,2.57279,10.0868,1.36079,0,0,0,0,4.67992,5.91955,3.90823,4.218e-05,4.218e-05,4.218e-05
5,5.21734,4.18367,6.99578,4.34896,0,0,0,0,4.59952,5.7825,3.65894,4.832e-05,4.832e-05,4.832e-05
6,6.14386,4.12435,6.81121,4.154,0,0,0,0,4.46087,5.72538,3.47918,5.05e-05,5.05e-05,5.05e-05
7,7.04971,4.34791,9.88366,2.99824,0,0,0,0,4.38423,6.2955,3.30915,4.872e-05,4.872e-05,4.872e-05
8,7.95666,3.70669,6.41246,2.2976,0,0,0,0,4.07866,6.6382,3.0855,4.298e-05,4.298e-05,4.298e-05
9,8.77565,2.82959,6.9665,3.05485,0,0,0,0,4.07866,6.6382,3.0855,3.328e-05,3.328e-05,3.328e-05
10,9.64761,3.17384,8.66601,2.88486,0,0,0,0,3.95135,6.27541,2.98753,1.962e-05,1.962e-05,1.962e-05
